epoch,step,test_loss,train_loss,val_loss
0,49,,0.3601895570755005,
0,99,,0.19263270497322083,
0,149,,0.13696132600307465,
0,199,,0.09267333149909973,
0,236,,,0.08203906565904617
1,249,,0.04258190840482712,
1,299,,0.05499051511287689,
1,349,,0.08843187242746353,
1,399,,0.026827950030565262,
1,449,,0.025765690952539444,
1,473,,,0.05234403908252716
2,499,,0.014456797391176224,
2,549,,0.016805630177259445,
2,599,,0.025755995884537697,
2,649,,0.026356246322393417,
2,699,,0.040098123252391815,
2,710,,,0.04668636992573738
3,749,,0.03865279629826546,
3,799,,0.0062961275689303875,
3,849,,0.004273267462849617,
3,899,,0.02801772952079773,
3,947,,,0.034551817923784256
4,949,,0.089075967669487,
4,999,,0.014626482501626015,
4,1049,,0.03893660008907318,
4,1099,,0.024976607412099838,
4,1149,,0.00543396919965744,
4,1184,,,0.03246760368347168
5,1199,,0.005100775510072708,
5,1249,,0.010442182421684265,
5,1299,,0.006079862359911203,
5,1349,,0.0037332759238779545,
5,1399,,0.03768455982208252,
5,1421,,,0.0336972177028656
6,1449,,0.08898138254880905,
6,1499,,0.0012440967839211226,
6,1549,,0.0032159476540982723,
6,1599,,0.0048462748527526855,
6,1649,,0.003241642378270626,
6,1658,,,0.028557386249303818
7,1699,,0.001969345612451434,
7,1749,,0.004611395299434662,
7,1799,,0.0013669223990291357,
7,1849,,0.029831670224666595,
7,1895,,,0.03239070996642113
8,1899,,0.005976344458758831,
8,1949,,0.002075348049402237,
8,1999,,0.005293288268148899,
8,2049,,0.004563859663903713,
8,2099,,0.005328657105565071,
8,2132,,,0.02686208486557007
9,2149,,0.0045957257971167564,
9,2199,,0.011067291721701622,
9,2249,,0.0025776242837309837,
9,2299,,0.007970022968947887,
9,2349,,0.004458725918084383,
9,2369,,,0.03445100039243698
10,2399,,0.003796455916017294,
10,2449,,0.0007984380354173481,
10,2499,,0.0007078683120198548,
10,2549,,0.0011668470688164234,
10,2599,,0.0012101843021810055,
10,2606,,,0.02622997760772705
11,2649,,0.0003559948527254164,
11,2699,,0.0014249859377741814,
11,2749,,0.0018063028110191226,
11,2799,,0.00287072965875268,
11,2843,,,0.027338780462741852
12,2849,,0.0021535945124924183,
12,2899,,0.0011855429038405418,
12,2949,,0.0011156649561598897,
12,2999,,0.0011271722614765167,
12,3049,,0.000286233815131709,
12,3080,,,0.02709195949137211
13,3099,,0.00011207089119125158,
13,3149,,0.031769681721925735,
13,3199,,0.0006126599619165063,
13,3249,,0.018309954553842545,
13,3299,,0.033163901418447495,
13,3317,,,0.03265910595655441
14,3349,,0.0042653209529817104,
14,3399,,0.0005974990199320018,
14,3449,,0.0014459476806223392,
14,3499,,0.00232213968411088,
14,3549,,5.00853311677929e-05,
14,3554,,,0.025545671582221985
15,3555,0.03700391575694084,,
